_row_id,augment_ranking_row_id,stage_order,stage_pick_rate,avg_ranking,raw_json
133,45,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
134,45,2,17.39,4.41,"{""stagePickRate"":17.39,""avgRanking"":4.41}"
135,45,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
136,46,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
137,46,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
138,46,3,17.33,4.46,"{""stagePickRate"":17.33,""avgRanking"":4.46}"
139,47,1,15.62,4.63,"{""stagePickRate"":15.62,""avgRanking"":4.63}"
140,47,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
141,47,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
142,48,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
143,48,2,15.75,4.6,"{""stagePickRate"":15.75,""avgRanking"":4.6}"
144,48,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
145,49,1,5.33,4.44,"{""stagePickRate"":5.33,""avgRanking"":4.44}"
146,49,2,4.52,4.19,"{""stagePickRate"":4.52,""avgRanking"":4.19}"
147,49,3,6.22,4.28,"{""stagePickRate"":6.22,""avgRanking"":4.28}"
148,50,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
149,50,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
150,50,3,15.89,4.76,"{""stagePickRate"":15.89,""avgRanking"":4.76}"
151,51,1,15.5,4.09,"{""stagePickRate"":15.5,""avgRanking"":4.09}"
152,51,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
153,51,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
154,52,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
155,52,2,7.62,4.45,"{""stagePickRate"":7.62,""avgRanking"":4.45}"
156,52,3,7.87,4.69,"{""stagePickRate"":7.87,""avgRanking"":4.69}"
157,53,1,13.66,5.09,"{""stagePickRate"":13.66,""avgRanking"":5.09}"
158,53,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
159,53,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
160,54,1,8.95,4.22,"{""stagePickRate"":8.95,""avgRanking"":4.22}"
161,54,2,5.97,4.17,"{""stagePickRate"":5.97,""avgRanking"":4.17}"
162,54,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
163,55,1,13.45,4.56,"{""stagePickRate"":13.45,""avgRanking"":4.56}"
164,55,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
165,55,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
166,56,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
167,56,2,13.89,4.61,"{""stagePickRate"":13.89,""avgRanking"":4.61}"
168,56,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
169,57,1,12.68,4.24,"{""stagePickRate"":12.68,""avgRanking"":4.24}"
170,57,2,1.47,3.97,"{""stagePickRate"":1.47,""avgRanking"":3.97}"
171,57,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
