_row_id,unit_ranking_row_id,equipment_order,equipment_id,equipment_img,raw_json
26,6,1,2038,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2038.png,"{""equipmentId"":2038,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2038.png""}"
27,6,2,2006,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2006.png,"{""equipmentId"":2006,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2006.png""}"
28,6,3,2039,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2039.png,"{""equipmentId"":2039,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2039.png""}"
29,6,4,2044,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2044.png,"{""equipmentId"":2044,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2044.png""}"
30,6,5,2024,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/adaptivehelm.png,"{""equipmentId"":2024,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/adaptivehelm.png""}"
31,7,1,2029,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png,"{""equipmentId"":2029,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png""}"
32,7,2,2032,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/evenshroud.png,"{""equipmentId"":2032,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/evenshroud.png""}"
33,7,3,2025,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/spiritvisage.png,"{""equipmentId"":2025,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/spiritvisage.png""}"
34,7,4,2028,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2248.png,"{""equipmentId"":2028,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2248.png""}"
35,7,5,2007,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/steraksgage.png,"{""equipmentId"":2007,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/steraksgage.png""}"
36,8,1,2012,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2052.png,"{""equipmentId"":2012,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2052.png""}"
37,8,2,2024,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/adaptivehelm.png,"{""equipmentId"":2024,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/adaptivehelm.png""}"
38,8,3,2007,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/steraksgage.png,"{""equipmentId"":2007,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/steraksgage.png""}"
39,8,4,2028,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2248.png,"{""equipmentId"":2028,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2248.png""}"
40,8,5,41602,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/41602.png,"{""equipmentId"":41602,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/41602.png""}"
41,9,1,2029,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png,"{""equipmentId"":2029,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2329.png""}"
42,9,2,2044,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2044.png,"{""equipmentId"":2044,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2044.png""}"
43,9,3,2023,https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2023.png,"{""equipmentId"":2023,""img"":""https://game.gtimg.cn/images/lol/act/jkzlk/gamedata/equip/2023.png""}"
